1 455 365 95 514 225 101 15
1 350 265 90 226 100 49 7
2 530 420 135 677 257 142 9
1 440 365 125 516 216 114 10
0 330 255 80 205 90 40 7
0 425 300 95 352 141 78 8
2 530 415 150 778 237 142 20
2 545 425 125 768 294 150 16
1 475 370 125 509 217 113 9
2 550 440 150 895 315 151 19
2 525 380 140 607 194 148 14
1 430 350 110 406 168 81 10
1 490 380 135 542 218 95 11
2 535 405 145 685 273 171 10
2 470 355 100 476 168 81 10
1 500 400 130 665 258 133 12
0 355 280 85 291 95 40 7
2 440 340 100 451 188 87 10
1 365 295 80 256 97 43 7
1 450 320 100 381 171 75 9
1 355 280 95 246 96 62 11
0 380 275 100 226 80 49 10
2 565 440 155 940 428 214 12
2 550 415 135 764 318 210 9
2 615 480 165 1162 513 301 10
2 560 440 140 929 383 188 11
2 580 450 185 996 395 272 11
1 590 445 140 931 356 234 12
1 605 475 180 937 394 219 15
1 575 425 140 864 393 227 11
1 580 470 165 998 394 242 10
2 680 560 165 1639 606 281 15
1 665 525 165 1338 552 358 18
2 680 550 175 1798 815 393 19
2 705 550 200 1710 633 412 13
1 465 355 105 480 227 124 8
2 540 475 155 1217 531 308 16
2 450 355 105 523 237 117 8
2 575 445 135 883 381 204 11
1 355 290 90 328 134 86 9
2 450 335 105 425 187 91 9
2 550 425 135 852 362 196 14
0 240 175 45 70 32 24 5
0 205 150 55 42 26 15 5
0 210 150 50 42 18 13 4
0 390 295 95 203 88 45 7
1 470 370 120 580 293 227 9
2 460 375 120 461 178 110 7
0 325 245 70 161 76 26 6
2 525 425 160 836 355 214 9
0 520 410 120 595 239 111 8
1 400 320 95 303 134 60 7
1 485 360 130 542 260 96 10
2 470 360 120 478 211 106 10
1 405 310 100 385 173 92 7
2 500 400 140 662 257 176 8
1 445 350 120 443 192 96 8
1 470 385 135 590 277 120 8
0 245 190 60 86 42 14 4
2 505 400 125 583 246 130 7
1 450 345 105 412 180 113 7
1 505 405 110 625 305 160 9
2 530 410 130 697 302 194 10
1 425 325 95 379 171 80 7
1 520 400 120 580 234 132 8
1 475 355 120 480 234 102 8
2 565 440 160 915 354 194 12
2 595 495 185 1285 416 224 13
2 475 390 120 531 214 116 10
0 310 235 70 151 63 41 6
1 555 425 130 767 264 168 13
2 400 320 110 353 141 99 8
2 595 475 170 1247 480 225 20
1 570 480 175 1185 474 261 11
2 605 450 195 1098 481 290 13
2 600 475 150 1008 443 221 15
1 595 475 140 944 363 189 9
2 600 470 150 922 363 194 10
2 555 425 140 788 282 160 11
2 615 475 170 1103 470 236 14
2 575 445 140 941 385 252 9
1 620 510 175 1615 510 192 12
2 520 425 165 989 396 225 16
1 595 475 160 1318 408 234 21
1 580 450 140 1013 380 216 14
2 570 465 180 1295 339 223 12
1 625 465 140 1195 483 205 13
1 560 440 160 865 331 208 10
2 460 355 130 517 221 114 9
2 575 450 160 978 314 231 12
1 565 425 135 812 341 168 15
1 555 440 150 755 307 153 12
1 595 465 175 1115 402 254 13
2 625 495 165 1262 507 318 10
1 695 560 190 1494 588 343 15
1 665 535 195 1606 576 388 14
1 535 435 150 725 269 139 9
1 470 375 130 523 214 132 8
1 470 370 130 523 201 133 7
2 475 375 125 579 278 85 10
0 360 265 95 232 105 46 7
1 550 435 145 843 328 192 15
1 530 435 160 883 316 164 15
1 530 415 140 724 311 168 10
1 605 470 160 1174 498 241 12
2 520 410 155 727 291 184 12
2 545 430 165 802 294 183 11
2 500 400 125 668 261 132 10
2 510 390 135 634 231 179 9
2 435 395 105 364 136 98 9
1 495 395 125 542 238 135 9
1 465 360 105 431 172 107 9
0 435 320 80 333 149 64 9
1 425 350 105 393 130 63 9
2 545 410 125 694 298 146 11
2 530 415 115 592 233 159 11
2 490 375 135 613 256 102 11
1 440 340 105 402 131 96 10
2 560 430 150 883 347 172 9
1 405 305 85 261 115 60 8
2 470 365 105 421 163 104 9
0 385 295 85 254 103 58 7
2 515 425 140 766 304 173 14
1 370 265 75 214 90 51 6
0 360 280 80 176 81 51 6
0 270 195 60 73 29 24 5
0 375 275 90 238 108 55 6
0 385 290 85 251 112 61 8
1 700 535 160 1726 630 264 19
1 710 540 165 1959 767 261 18
1 595 480 165 1262 484 283 17
2 440 350 125 404 175 63 9
2 325 260 90 192 85 36 7
0 350 260 95 211 86 56 7
0 265 200 65 98 40 21 7
2 425 330 115 406 164 81 8
2 305 230 80 156 68 35 7
1 345 255 90 201 94 30 9
2 405 325 110 356 151 63 9
1 375 285 95 253 96 58 9
2 565 445 155 826 341 206 10
2 550 450 145 741 295 144 10
1 650 520 190 1345 519 306 16
1 560 455 155 797 340 190 11
1 475 375 130 518 208 117 10
2 490 380 125 549 245 108 10
1 460 350 120 515 224 108 10
0 280 205 80 127 52 39 9
0 175 130 55 32 11 7 5
0 170 130 95 30 13 8 4
1 590 475 145 1053 442 262 15
2 605 500 185 1119 469 259 9
2 635 515 190 1372 506 305 10
2 605 485 160 1057 370 236 10
2 565 450 135 989 387 150 12
1 515 405 130 722 320 131 10
2 575 460 190 994 392 243 13
1 645 485 215 1514 546 262 16
2 580 455 170 908 374 214 13
2 575 460 165 1124 299 179 13
1 605 465 165 1056 422 248 13
2 605 485 160 1222 530 258 13
1 610 485 175 1245 544 297 12
2 725 560 210 2141 650 398 18
2 650 545 230 1752 561 290 16
1 725 570 190 2550 1071 483 14
2 725 575 175 2124 765 452 20
2 680 570 205 1842 625 408 20
1 705 560 220 1981 818 309 14
2 680 515 175 1619 513 409 12
1 695 550 215 1957 713 541 14
2 530 395 145 775 308 169 7
1 525 435 155 1065 486 233 8
2 520 405 115 776 320 185 8
0 235 160 40 48 19 18 5
0 360 260 90 179 65 37 7
0 315 210 60 125 60 38 5
0 315 245 85 144 53 48 8
0 225 160 45 47 25 15 4
1 580 475 150 970 385 217 11
1 570 480 180 940 399 200 14
1 640 510 175 1368 515 266 21
2 560 450 160 1024 429 268 10
2 620 475 175 1017 436 214 10
2 645 510 200 1568 621 367 12
1 620 490 190 1218 546 297 13
2 630 480 150 1053 392 336 12
2 630 500 185 1383 540 332 10
2 630 480 160 1199 527 335 11
2 585 460 170 933 365 271 9
1 615 480 180 1160 485 217 13
1 610 485 170 1023 419 241 12
1 580 450 150 927 276 182 14
0 355 275 85 220 92 60 8
2 510 400 140 815 459 197 10
1 500 405 155 772 346 154 12
2 505 410 150 644 285 145 11
1 640 500 185 1304 445 264 16
1 560 450 160 922 432 178 15
1 585 460 185 922 364 213 10
2 450 345 120 417 166 95 9
1 500 400 165 825 254 205 13
2 500 400 145 630 234 147 12
2 530 435 170 816 299 155 13
1 420 335 115 369 171 71 8
2 440 340 140 482 186 109 9
0 400 300 110 315 109 67 9
0 435 340 110 380 150 85 8
2 525 415 170 833 276 169 13
0 370 280 95 266 122 52 7
2 490 365 145 635 200 163 10
1 335 250 90 181 76 42 7
2 415 325 105 380 160 79 12
1 500 405 140 616 241 136 9
2 485 395 160 660 248 128 14
1 550 405 140 803 244 164 10
1 450 350 130 460 174 111 8
0 405 300 120 324 127 70 7
1 470 360 135 501 167 115 10
