51 35 14  2 1
47 32 13  2 1
50 36 14  2 1
46 34 14  3 1
44 29 14  2 1
54 37 15  2 1
48 30 14  1 1
58 40 12  2 1
54 39 13  4 1
57 38 17  3 1
54 34 17  2 1
46 36 10  2 1
48 34 19  2 1
50 34 16  4 1
52 34 14  2 1
48 31 16  2 1
52 41 15  1 1
49 31 15  1 1
55 35 13  2 1
44 30 13  2 1
50 35 13  3 1
44 32 13  2 1
51 38 19  4 1
51 38 16  2 1
53 37 15  2 1
70 32 47 14 2
69 31 49 15 2
65 28 46 15 2
63 33 47 16 2
66 29 46 13 2
50 20 35 10 2
60 22 40 10 2
56 29 36 13 2
56 30 45 15 2
62 22 45 15 2
59 32 48 18 2
63 25 49 15 2
64 29 43 13 2
68 28 48 14 2
60 29 45 15 2
55 24 38 11 2
58 27 39 12 2
54 30 45 15 2
67 31 47 15 2
56 30 41 13 2
55 26 44 12 2
58 26 40 12 2
56 27 42 13 2
57 29 42 13 2
51 25 30 11 2
63 33 60 25 3
71 30 59 21 3
65 30 58 22 3
49 25 45 17 3
67 25 58 18 3
65 32 51 20 3
68 30 55 21 3
58 28 51 24 3
65 30 55 18 3
77 26 69 23 3
69 32 57 23 3
77 28 67 20 3
67 33 57 21 3
62 28 48 18 3
64 28 56 21 3
74 28 61 19 3
64 28 56 22 3
61 26 56 14 3
63 34 56 24 3
60 30 48 18 3
67 31 56 24 3
58 27 51 19 3
67 33 57 25 3
63 25 50 19 3
62 34 54 23 3
