3 48 1
43 66 2
45 60 2
67 25 2
9 66 1
6 29 1
43 18 2
49 47 2
28 57 2
45 31 2
65 75 2
75 23 2
53 62 2
37 28 2
61 13 2
79 18 2
2 55 1
34 12 2
0 70 1
50 70 2
5 15 1
34 51 2
27 41 2
47 35 2
79 30 2
59 45 2
17 43 2
37 70 2
1 27 1
62 18 2
51 75 2
79 22 2
18 17 2
79 71 1
27 44 2
53 33 2
30 29 2
30 23 2
55 19 2
30 36 2
16 55 2
10 7 2
10 42 1
1 24 1
73 64 2
59 53 2
3 67 1
56 64 2
34 78 2
12 68 1
2 64 1
60 75 2
20 55 2
28 25 2
19 34 2
54 35 2
40 1 2
40 17 2
0 24 2
0 25 2
2 80 1
61 72 2
20 80 2
0 26 1
28 2 2
18 33 2
56 62 2
73 57 2
23 38 2
66 27 2
44 28 2
40 24 2
57 27 2
36 72 2
66 32 2
38 39 2
17 40 2
13 23 2
20 37 2
25 35 2
36 61 2
76 1 2
68 50 2
33 26 2
28 62 2
54 59 2
49 12 2
12 11 2
59 58 2
3 52 1
49 23 2
58 73 2
53 17 2
11 64 1
55 71 2
2 26 1
55 34 2
36 79 2
24 21 2
18 73 2
6 30 1
46 77 2
61 62 2
47 77 2
26 22 2
42 20 2
61 55 2
21 47 2
75 30 2
62 16 2
45 0 2
18 80 2
51 48 2
21 72 2
64 41 2
70 39 2
37 40 2
61 60 2
54 79 2
10 33 1
33 41 2
60 52 2
47 5 2
24 55 2
60 25 2
15 38 2
44 36 2
74 54 2
64 1 2
24 68 2
70 41 2
48 27 2
47 34 2
30 34 2
48 32 2
34 42 2
49 34 2
12 62 1
18 30 2
58 52 2
53 18 2
8 21 1
58 2 2
19 35 2
70 62 2
23 30 2
72 35 2
43 25 2
21 3 2
78 3 2
42 57 2
23 66 2
6 55 1
9 3 2
7 59 1
30 17 2
75 67 2
70 18 2
64 63 2
15 54 2
41 5 2
69 32 2
24 70 2
32 30 2
65 25 2
43 67 2
50 74 2
20 46 2
7 0 2
33 27 2
41 59 2
77 58 2
66 29 2
16 31 2
5 80 1
47 66 2
13 29 2
48 67 2
40 70 2
3 76 1
35 58 2
19 80 2
42 58 2
37 45 2
15 0 2
75 71 2
65 56 2
54 9 2
46 27 2
39 73 2
66 34 2
19 40 2
73 16 2
36 67 2
71 62 2
3 5 1
32 62 2
6 51 1
6 66 1
69 75 2
1 73 1
14 61 2
0 80 1
25 53 2
42 48 2
65 58 2
63 18 2
46 63 2
10 19 2
59 77 2
34 48 2
61 39 2
5 27 1
39 46 2
1 61 1
27 53 2
20 78 2
15 16 2
54 33 2
49 66 2
53 76 2
79 54 1
26 71 2
43 69 2
62 69 2
25 65 2
44 46 2
7 28 1
40 28 2
8 14 1
48 6 2
31 69 2
40 36 2
21 32 2
72 15 2
44 6 2
27 59 2
66 80 2
20 31 2
22 25 2
42 4 2
66 50 2
78 24 2
5 1 1
66 14 2
34 28 2
31 15 2
71 53 2
37 9 2
15 12 2
28 24 2
21 5 2
6 39 1
22 52 2
66 1 2
30 5 2
24 33 2
1 65 1
48 45 2
23 39 2
78 54 2
30 80 2
69 52 2
76 12 2
19 58 2
59 30 2
76 46 2
28 43 2
48 9 2
73 48 2
32 67 2
55 42 2
1 16 2
64 14 2
62 6 2
63 28 2
75 72 2
32 40 2
25 49 2
64 79 2
4 65 1
45 19 2
37 24 2
46 12 2
13 55 2
56 13 2
57 78 2
6 37 1
10 66 1
25 62 2
18 5 2
0 38 1
27 11 2
22 64 2
11 0 2
12 30 2
33 25 2
79 28 2
11 33 2
69 72 2
35 10 2
38 32 2
20 41 2
62 9 2
77 59 2
33 5 2
49 10 2
18 59 2
41 72 2
48 79 2
62 66 2
34 45 2
46 76 2
68 14 2
7 75 1
17 76 2
46 8 2
19 52 2
29 71 2
67 46 2
37 10 2
75 69 2
72 10 2
78 69 1
64 7 2
47 60 2
20 57 2
80 46 1
45 15 2
4 42 1
42 12 2
52 47 2
12 8 2
9 51 1
54 78 2
7 4 2
16 42 2
66 3 2
27 62 2
1 23 1
75 66 2
41 31 2
72 68 2
24 36 2
15 34 2
76 53 2
6 56 1
44 22 2
79 1 2
63 22 2
